name,degree,addr,tel,review,type
진진돈가츠,4.7,제주특별자치도 제주시 오복2길 35-1 1층,070-7576-3393,8,"돈까스,우동"
긴꼬리딱새,4.9,제주특별자치도 제주시 수덕9길 86-8 1층,070-8860-3690,8,일식집
곁애,,제주특별자치도 서귀포시 문부로 36-6 1층,064-900-4104,34,일식
요기소바 외도점,4.5,제주특별자치도 제주시 우령안1길 29 1층,064-748-0064,13,"돈까스,우동"
타모라돈까스,4.4,제주특별자치도 서귀포시 남원읍 일주동로 7133,064-764-8588,2,"돈까스,우동"
히츠야,4.6,제주특별자치도 제주시 구좌읍 월정1길 54-11 1층,064-783-8891,7,일식
오키니,4.6,제주특별자치도 제주시 연화로2길 8 1층,064-711-2925,11,일식
정직유부 제주연동점,4.8,제주특별자치도 제주시 연화로1길 9 1층,064-711-5274,6,"초밥,롤"
노형초밥 하나미,0,제주특별자치도 제주시 다랑곶6길 28 1층,064-742-7788,1,"초밥,롤"
돈하,4,제주특별자치도 서귀포시 중정로91번길 51-1 1층,,37,"돈까스,우동"
오규동 서귀점,3.5,제주특별자치도 서귀포시 솜반천로14번길 3 2층,064-733-0590,36,일식
스시승민,5,제주특별자치도 서귀포시 표선면 민속해안로 35 1층,010-6468-6332,1,"초밥,롤"
이치카,4.9,제주특별자치도 서귀포시 남원읍 신례로 308,064-738-9282,29,일본식라면
레드썬셋,3.5,제주특별자치도 제주시 구좌읍 구좌해안로 16,,0,일식
사토,4.4,제주특별자치도 제주시 연동3길 36 1층,,6,일식집
아일랜드본섬,4.5,제주특별자치도 제주시 신설로6길 1-1,064-755-1138,4,일식집
제주다옴돈까스,4.7,제주특별자치도 제주시 애월읍 광성로 86 1층,064-713-8664,14,"돈까스,우동"
돈내코점심,5,제주특별자치도 서귀포시 516로 472,,4,일식
야끼니꾸엔 제주점,5,제주특별자치도 제주시 국기로 25,064-748-3288,0,일식집
마초면탁해안,4.4,제주특별자치도 제주시 노형로 89,,32,일본식라면
함덕스시소시,4.4,제주특별자치도 제주시 조천읍 신북로 462 1층,010-5640-0462,7,일식
