name,degree,addr,tel,review,type,r_review,,,,,,,,,,
자매국수,3.5,제주특별자치도 제주시 항골남길 46,064-746-2222,1442,국수,맛이 없진 않지만... 너무너무 짜다..ㅠㅠ 먹고 나서 물이 엄청 먹힘ㅎㅎ 제주에는 고기국수를 많이 팔아서 걍 지나가다 로컬집 들어가서 먹으면 거기가 더 꿀맛임.. 무튼 여기도 나쁘진 않지만 웨이팅해서 먹을 정도는 아니당/0 진짜 노형에서 리필해먹었던 비빔국수가 격하게 먹고싶다ㅜ/0,,,,,,,,,,
숙성도 노형점,,제주특별자치도 제주시 원노형로 41 1층,064-711-5212,203,삼겹살,,,,,,,,,,,
고집돌우럭 제주공항점,4.8,제주특별자치도 제주시 임항로 30,0507-1436-1008,802,"해물,생선","제주여행중에 가장!!!!! 맛있었어요!!!!♡♡♡무조린거랑 두부 으깨서 밥에 양념살짝비벼서 먹어도 맛있고 갖가지 쌈에다가 된장살짝넣고 우럭싸먹어도 너무맛있고!! 밑반찬들도 하나하나 다 맛있어서 밥이 모자를 정도..심지어 전복죽도 맛있어요 여긴..진짜 너무 맛있는데 배불러서 한입만 더 한입만 더 하다가 찢길뻔햇어요 ㅋㅋㅋㅋ 진짜 넘 감동스럽게 먹어서 지인들이 맛집 추천해달라하면 무조건 고집돌우럭 추천합니다 !맛있는 만큼 대기 있긴 하지만 충분히 기다려서 먹을 맛이에요 !! 완전 추천합니다 👍 😎/0 일행들이 집으로 돌아와서도 이집 생각에 간절하다고 합니다. ㅎ 싹 비웠습니다. 밑반찬도 다~ 맛있어요~ 시래기도 넉넉하게 넣어주셔서 너무 맛있게 잘 먹었습니다. 아들,남편 데리고 꼭 다시 방문하려고 합니다. 강추 ~ 직원분들 다들 너무 친절하세요~ 공항점이 후기가 좋아서 방문했어요~~/0 모든 찬이 정갈하고 맛있어요서버분들 친절하고 잘 대접받으면서 먹은 기분이에요비린맛에 초예민한 남편도 국물이 달큰한 우럭조림 비린맛없이 맛있다고 밥 두그릇을 먹었네요제주식당들 중 매우 만족입니다 대기가 많은 이유가 있네요/0",,,,,,,,,,
우진해장국,3.7,제주특별자치도 제주시 서사로 11 1층,064-757-3393,3751,해장국,,,,,,,,,,,
고집돌우럭 함덕점,4.8,제주특별자치도 제주시 조천읍 신북로 491-9 2층,0507-1353-6061,548,한식,제주오면늘찾는맛집..정갈하고깔끔해서오늘도남김없이다먹고가요아이랑식사하기참좋은곳!!/0 고집돌우럭 함덕점 여름휴가로 맛집 폭풍검색중발견한곳 역시 기대이상의 맛과 사장님의 친절한 안내로 맛있게 먹은 저녁식사!!제주도 오면 꼭 들리는 맛집 핫플로 등록 ~~^^~~/0 파도가 일렁이는 뷰와 함께 바다 식재료들이 입을 즐겁게 합니다!주메뉴를 김과 야채에 싸서 먹으면 순삭입니다.백김치 및 연근샐러드 등 밑반찬들도 주재료와 잘 어우러져 개운한 맛을 줍니다.뷰와 맛까지 어느 하나 빠지는게 없어 내가 제주에 왔구나~~를 느끼며 행복한 저녁 식사했습니다/0,,,,,,,,,,
올래국수 본점,,제주특별자치도 제주시 귀아랑길 24 1층,064-742-7355,482,국수,,,,,,,,,,,
고집돌우럭 중문점,4.9,제주특별자치도 서귀포시 일주서로 879 1층,0507-1408-1540,1442,"해물,생선",셋트B맛있어요 근데 추워서 인지 밥 국이 금방 식어서 맛이 떨어짐2층이라 그런가 싶기도하고친절한데음식 서빙시 위생장갑 사용하셨으면 좋겠네요에코백/0,,,,,,,,,,
색달식당 중문갈치조림구이 본점,4.4,제주특별자치도 서귀포시 예래로 255-18 1층,064-738-1741,3794,"해물,생선",,,,,,,,,,,
제주광해 애월본점,4.7,제주특별자치도 제주시 애월읍 애월해안로 867 2층,064-713-4789,392,한식,"와ㅏㅏ 인기 대박이라서 대기하는데도 소품샵에서 오션뷰 보면서 하니 금방 시간이 지나는데다 친절도 또한 굿!!물론 음식들도 존맛탱이라 친구들도 다 만족스러워했어요!! 굿/0 맛은 뭐 말모고 직원분들도 너무너무 친절한곳ㅎㅎ제주도 여행 첫째날 갔다가 감동적이여서 여기는 마지막날에 또 왔지요ㅋ 숙소가 멀어도 제주도 와서 갈치 좀 먹어보고싶다 하시면 여기 오셔야합니다!! 저의 최애메뉴는 갈치구이 SET로, 커다란 갈치구이, 고등어구이, 전혀 짜지도 맵지도 않고 시원한 해물 가득한 뚝배기, 몇번이나 리필해 먹는 갈치속젓과 쌈채소, 딱새우/꽃게/전복 간장장이 나옵니다ㅠㅠ 제주도 오면 또 들릴곳♡/0 아침으로 먹으러 갔는데 정말 최고...!!양념이 너무 맛있었어요ㅠㅠ 떡이 쫄깃하지가 않아서 그건 약간 아쉽긴 한데 갈치가 너무 맛있어요./0",,,,,,,,,,
미영이네,4.3,제주특별자치도 서귀포시 대정읍 하모항구로 42,064-792-0077,1106,회,고등어회 너무 맛있고 가게 엄청 깔끔함제주도에서 먹은 고등어회중 으뜸이었습니다/0 고등어회 맛있네요!비린맛도 없고 고소라니 굿!다만 중간에 가시가 있어서 좀 그런데 연해서 괜찮았어용그리고 고등어 조림도 맛있어요!/0,,,,,,,,,,
중문수두리보말칼국수,4.5,제주특별자치도 서귀포시 천제연로 192 1층,064-739-1070,642,칼국수,아주 맛있어요/0,,,,,,,,,,
가시아방국수,3.1,제주특별자치도 서귀포시 성산읍 섭지코지로 10 1층,064-783-0987,837,국수,"고기 국수 맛나게 잘 먹었음! 양도 많아서 좋았음다만 돔베고기가 조금 더 부드러웠으면 좋겠음/0 여전히 맛있어요! 직원분중에 안경끼신 남성분 일머리 일눈치 너무 좋으셨어요 현관에서부터 도움필요하니까 뛰어와서 도와주시고, 흰티입고있으니까 바로 앞치마 준비해주시고, 마늘고추 더 달라니 쌈장은 괜찮냐고 먼저 물어봐주시더라고요? 이런 직원 귀한데...칭찬글 남기고 갑니다!/0 고기국수, 비빔국수, 절반돔베고기 - 유명하다고 해서 갔는데 고기 빼고는 조금 실망이었어요, 육수는 사골육수로 어디서든 맛 볼 수 있는 맛이고, 비빔국수는 김천 쫄면 이하의 수준입니다. 면 양은 정말 많아서 남겨버렸는데 이게 오히려 만족감을 주지 못하더라구요, 유일하게 괜찮다고 느낀 고기의 양은 적게 느껴졌습니다. 잘먹었어요./0",,,,,,,,,,
